Location name,Latitute,Longitude
Horse enclosure,47.808718,13.94931
Bear-wolf enclosure,47.807021,13.948008
Wildboar enclosure,47.805372,13.948728
Deer enclosure,47.8034,13.948858
Cliff ,47.807288,13.945097
